gse	run	layout	fastq_ftp
GSE280522	SRR30827777	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_2.fastq.gz
GSE162345	SRR16201704	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16201704/SRR16201704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16201704/SRR16201704_2.fastq.gz
GSE221985	SRR22944191	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/091/SRR22944191/SRR22944191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/091/SRR22944191/SRR22944191_2.fastq.gz
GSE162345	SRR16201697	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/097/SRR16201697/SRR16201697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/097/SRR16201697/SRR16201697_2.fastq.gz
GSE162345	SRR16201706	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR16201706/SRR16201706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR16201706/SRR16201706_2.fastq.gz
GSE162345	SRR16201700	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR16201700/SRR16201700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR16201700/SRR16201700_2.fastq.gz
GSE162345	SRR16201703	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR16201703/SRR16201703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR16201703/SRR16201703_2.fastq.gz
GSE221985	SRR22944193	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/093/SRR22944193/SRR22944193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/093/SRR22944193/SRR22944193_2.fastq.gz
GSE280522	SRR30827772	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/072/SRR30827772/SRR30827772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/072/SRR30827772/SRR30827772_2.fastq.gz
GSE280522	SRR30827719	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30827719/SRR30827719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30827719/SRR30827719_2.fastq.gz
GSE280522	SRR30827763	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30827763/SRR30827763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30827763/SRR30827763_2.fastq.gz
GSE280522	SRR30827741	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/041/SRR30827741/SRR30827741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/041/SRR30827741/SRR30827741_2.fastq.gz
GSE280522	SRR30827784	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30827784/SRR30827784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30827784/SRR30827784_2.fastq.gz
GSE221985	SRR22944198	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/098/SRR22944198/SRR22944198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/098/SRR22944198/SRR22944198_2.fastq.gz
GSE280522	SRR30827714	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30827714/SRR30827714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30827714/SRR30827714_2.fastq.gz
GSE300734	SRR34172922	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/022/SRR34172922/SRR34172922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/022/SRR34172922/SRR34172922_2.fastq.gz
