gse	run_accession	title_clean	library_layout	read_count	gb
GSE280522	SRR30827777	RNA_L2C_A485_rep2	PAIRED	11292332	0.634589618
GSE162345	SRR16201705	aAm_late2cell_NT1 Mus musculus RNA-Seq	PAIRED	13234768	0.663756453
GSE162345	SRR16201707	aAm_late2cell_NT3 Mus musculus RNA-Seq	PAIRED	13291400	0.686661928
GSE162345	SRR16201704	late2cell_NT3 Mus musculus RNA-Seq	PAIRED	14088006	0.752177764
GSE162345	SRR16201701	aAm_early2cell_NT3 Mus musculus RNA-Seq	PAIRED	14769095	0.775269867
GSE162345	SRR16201702	late2cell_NT1 Mus musculus RNA-Seq	PAIRED	14630529	0.786250909
GSE221985	SRR22944191	RNA_L2C_Ctrl_rep2 Mus musculus RNA-Seq	PAIRED	8635214	0.802816944
GSE162345	SRR16201698	early2cell_NT3 Mus musculus RNA-Seq	PAIRED	14770260	0.819823029
GSE280522	SRR30827713	RNA_E2C_A485+Dux_rep2	PAIRED	10564607	0.861133576
GSE162345	SRR16201697	early2cell_NT2 Mus musculus RNA-Seq	PAIRED	15655323	0.867332514
GSE162345	SRR16201696	early2cell_NT1 Mus musculus RNA-Seq	PAIRED	15859476	0.877997299
GSE221985	SRR22944186	RNA_L2C_KO_rep1 Mus musculus RNA-Seq	PAIRED	9827416	0.881986066
GSE162345	SRR16201706	aAm_late2cell_NT2 Mus musculus RNA-Seq	PAIRED	16685339	0.895688789
GSE221985	SRR22944187	RNA_L2C_Ctrl_rep1 Mus musculus RNA-Seq	PAIRED	10389467	0.959237538
GSE221985	SRR22944185	RNA_L2C_KO_rep2 Mus musculus RNA-Seq	PAIRED	10844233	0.964216336
GSE162345	SRR16201700	aAm_early2cell_NT2 Mus musculus RNA-Seq	PAIRED	20059570	1.020912942
GSE162345	SRR16201699	aAm_early2cell_NT1 Mus musculus RNA-Seq	PAIRED	21261273	1.086589813
GSE280522	SRR30827730	RNA_E2C_A485_rep3	PAIRED	12961956	1.092121066
GSE162345	SRR16201703	late2cell_NT2 Mus musculus RNA-Seq	PAIRED	20693082	1.094082057
GSE280522	SRR30827783	RNA_E2C_A485+Dux_rep4	PAIRED	15618140	1.165390582
GSE280522	SRR30827776	RNA_L2C_A485_rep3	PAIRED	16143415	1.178445393
GSE221985	SRR22944193	RNA_E2C_KO_rep2 Mus musculus RNA-Seq	PAIRED	10933009	1.188198173
GSE280522	SRR30827778	RNA_L2C_A485_rep1	PAIRED	14819791	1.231253604
GSE221985	SRR22944197	RNA_E2C_Ctrl_rep1 Mus musculus RNA-Seq	PAIRED	12119600	1.294210078
GSE280522	SRR30827772	RNA_L2C_A485+Dux_rep2	PAIRED	19250111	1.604905968
GSE280522	SRR30827782	RNA_L2C_DMSO_rep1	PAIRED	16329173	1.679443045
GSE280522	SRR30827770	RNA_L2C_A485+Dux_rep4	PAIRED	19267195	1.76786665
GSE280522	SRR30827719	RNA_E2C_A485_rep4	PAIRED	20265729	1.844267645
GSE280522	SRR30827779	RNA_L2C_DMSO_rep4	PAIRED	17370806	1.859862505
GSE280522	SRR30827775	RNA_L2C_A485_rep4	PAIRED	18330059	1.886204274
GSE280522	SRR30827763	RNA_E2C_DMSO_rep4	PAIRED	18727873	1.9146816
GSE280522	SRR30827781	RNA_L2C_DMSO_rep2	PAIRED	23017740	1.972610531
GSE280522	SRR30827771	RNA_L2C_A485+Dux_rep3	PAIRED	25491686	2.156109624
GSE280522	SRR30827741	RNA_E2C_A485_rep2	PAIRED	22843483	2.406781053
GSE280522	SRR30827780	RNA_L2C_DMSO_rep3	PAIRED	25234485	2.436779265
GSE280522	SRR30827752	RNA_E2C_A485_rep1	PAIRED	22552458	2.46494051
GSE280522	SRR30827784	RNA_E2C_A485+Dux_rep3	PAIRED	22875760	2.467730173
GSE280522	SRR30827785	RNA_E2C_DMSO_rep2	PAIRED	25312895	2.541428881
GSE280522	SRR30827786	RNA_E2C_DMSO_rep1	PAIRED	24974739	2.800419171
GSE221985	SRR22944198	RNA_E2C_KO_rep1 Mus musculus RNA-Seq	PAIRED	26524683	2.804237863
GSE280522	SRR30827773	RNA_L2C_A485+Dux_rep1	PAIRED	27105248	2.967318064
GSE221985	SRR22944194	RNA_E2C_Ctrl_rep2 Mus musculus RNA-Seq	PAIRED	28383956	2.977973576
GSE280522	SRR30827714	RNA_E2C_A485+Dux_rep1	PAIRED	28044404	3.298601298
GSE280522	SRR30827774	RNA_E2C_DMSO_rep3	PAIRED	35898766	3.728705086
GSE300734	SRR34172921	KO_L2C_RNA-seq_r2 Mus musculus RNA-Seq	PAIRED	25294579	3.399915783
GSE300734	SRR34172922	WT_E2C_RNA-seq_r1 Mus musculus RNA-Seq	PAIRED	29974281	3.519348408
GSE300734	SRR34172933	WT_E2C_RNA-seq_r3 Mus musculus RNA-Seq	PAIRED	29544326	3.877869559
GSE300734	SRR34172920	KO_L2C_RNA-seq_r3 Mus musculus RNA-Seq	PAIRED	29053854	3.89418523
GSE300734	SRR34172935	WT_L2C_RNA-seq_r3 Mus musculus RNA-Seq	PAIRED	29631461	4.007147531
