run_accession	library_layout	read_count	fastq_ftp	fastq_bytes	fastq_md5
SRR30827777	PAIRED	11292332	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_2.fastq.gz	368658017;265931601	5ea64aecdbc222ff8ca44aa9718717c3;5e26e71c0bd8801747fb2a2d081e0434
SRR16201705	PAIRED	13234768	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR16201705/SRR16201705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR16201705/SRR16201705_2.fastq.gz	393685263;270071190	a241fb15070fa4659ce6a5860ae44772;5deb8169edd8500b6f85ee2dd5ce5512
SRR16201707	PAIRED	13291400	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR16201707/SRR16201707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR16201707/SRR16201707_2.fastq.gz	408719826;277942102	c8e3f891d9fa9fc9ca87af88baa43e1f;c5660326a5e10e617b7bc747645a5785
SRR16201704	PAIRED	14088006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16201704/SRR16201704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16201704/SRR16201704_2.fastq.gz	450267263;301910501	1d59bc7c7c93e8c62eb4c7d7bf62456c;fbf63a90d158b03bf8adaeaf78178ab9
SRR16201701	PAIRED	14769095	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16201701/SRR16201701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16201701/SRR16201701_2.fastq.gz	461642568;313627299	b1d4dcd960ead86fec84950aa2255967;50020f2324f6f434ab9db2632cc5806a
SRR16201702	PAIRED	14630529	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR16201702/SRR16201702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR16201702/SRR16201702_2.fastq.gz	471654659;314596250	f8655e794e53105bc711952fa50210ec;99adf5c627ff6c291c802499367985cf
SRR22944191	PAIRED	8635214	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/091/SRR22944191/SRR22944191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/091/SRR22944191/SRR22944191_2.fastq.gz	399631019;403185925	1f221510bdb093f3211236c246b7a363;4ad67a69207686fe23909910b2d76050
SRR16201698	PAIRED	14770260	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/098/SRR16201698/SRR16201698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/098/SRR16201698/SRR16201698_2.fastq.gz	495091751;324731278	93f21ca69883c507379493e653981226;8540525f50708d61ddfc297374cd2fdb
SRR30827713	PAIRED	10564607	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_2.fastq.gz	443820493;417313083	0202b0e314e078892552cf84cdf2defc;411b9d89764384f94e0248b3bfb182bc
SRR16201697	PAIRED	15655323	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/097/SRR16201697/SRR16201697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/097/SRR16201697/SRR16201697_2.fastq.gz	524161830;343170684	18ffe0be3c7476b64b4fa0cdbaf45c73;7b7b83b984997c5a5c5c01b06eb5dd3c
SRR16201696	PAIRED	15859476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/096/SRR16201696/SRR16201696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/096/SRR16201696/SRR16201696_2.fastq.gz	529778518;348218781	5e179b05a02d8bfd6b99978a9dd70fbc;9619e53a70e01a937d1dd3eb8101c909
SRR22944186	PAIRED	9827416	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/086/SRR22944186/SRR22944186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/086/SRR22944186/SRR22944186_2.fastq.gz	439245543;442740523	b62b8e8dfca19d111525c7ff918c1edb;aad813aa8b5ef2f9655258ff70fa988a
SRR16201706	PAIRED	16685339	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR16201706/SRR16201706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR16201706/SRR16201706_2.fastq.gz	536801686;358887103	f15d68c3ce686e16bf1c61caa8cf1847;eebaa0e9bf6a50c1ca6361f8804b5569
SRR22944187	PAIRED	10389467	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/087/SRR22944187/SRR22944187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/087/SRR22944187/SRR22944187_2.fastq.gz	479333039;479904499	71c83984e52e2518c8d918ac1a4c5fe6;f2a3a360b596e160a6cf70ddaab03849
SRR22944185	PAIRED	10844233	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/085/SRR22944185/SRR22944185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/085/SRR22944185/SRR22944185_2.fastq.gz	480164742;484051594	7fa26327fa6d94bc0952241c70a3c4bf;061efde54850061ba23abad6ee3157a8
SRR16201700	PAIRED	20059570	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR16201700/SRR16201700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR16201700/SRR16201700_2.fastq.gz	606291183;414621759	ccee14503ac0da7d33c82f7b5bb20777;58c6d422344b1d8dcb9dae62186562fa
SRR16201699	PAIRED	21261273	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/099/SRR16201699/SRR16201699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/099/SRR16201699/SRR16201699_2.fastq.gz	646289776;440300037	30a3ba580e5fb51ad4726bd00f536443;3678def82b7bac36122f83bbe633c240
